peak_date,start_date,direction,mag_pct,days_to_peak,days_to_recover,permanent,vix_max,dxy_ret_pct,copper_ret_pct,driver_class,known_event
2008-11-03,2008-09-22,up,28.01,30,73.0,False,80.1,14.17,-50.55,global_riskoff_strong+USD_strength+copper_drop,
2022-07-18,2022-06-08,up,27.89,28,2.0,False,34.0,3.72,-22.06,global_riskoff+USD_strength+copper_drop,Pico USDCLP 1050 + intervención BCCh $25B
2019-12-02,2019-10-29,up,18.39,24,3.0,False,16.0,-0.3,3.99,local_idiosyncratic,
2009-11-18,2009-10-13,dn,-13.05,26,51.0,False,30.7,-1.29,11.04,global_riskoff+copper_rally,
2010-02-04,2010-01-08,up,12.89,19,19.0,False,27.3,3.68,-9.12,global_riskoff+USD_strength+copper_drop,
2022-09-26,2022-08-15,up,12.77,30,6.0,False,32.6,5.36,-4.24,global_riskoff+USD_strength,
2022-12-02,2022-10-24,dn,-12.19,29,224.0,False,29.9,-6.13,9.17,global_riskoff+USD_weakness+copper_rally,
2022-05-09,2022-03-28,up,11.53,30,18.0,False,34.8,3.66,-9.1,global_riskoff+USD_strength+copper_drop,
2008-07-02,2008-05-22,up,11.44,29,9.0,False,27.5,-0.25,0.89,global_riskoff,
2018-01-16,2017-12-08,dn,-11.28,27,79.0,False,12.2,-5.14,7.7,USD_weakness+copper_rally,
2011-10-31,2011-10-05,dn,-10.75,18,16.0,False,37.8,-1.61,8.88,global_riskoff_strong+copper_rally,
2020-03-19,2020-02-06,up,10.75,30,39.0,False,82.7,-0.13,-15.45,global_riskoff_strong+copper_drop,COVID
2024-02-09,2024-01-01,up,10.73,29,67.0,False,15.8,2.91,-1.1,USD_strength,
2020-06-02,2020-04-23,dn,-10.7,28,14.0,False,41.4,-3.1,11.94,global_riskoff_strong+USD_weakness+copper_rally,
2009-03-18,2009-02-23,dn,-10.49,17,28.0,False,52.6,-2.44,27.81,global_riskoff_strong+copper_rally,
2005-08-31,2005-07-21,dn,-10.37,29,36.0,False,14.2,-2.29,3.25,local_idiosyncratic,
2023-11-20,2023-10-16,dn,-10.05,25,36.0,False,21.7,-2.58,6.75,USD_weakness+copper_rally,
2021-12-21,2021-11-10,up,9.82,29,14.0,False,31.1,0.86,2.93,global_riskoff,
2012-02-10,2011-12-30,dn,-9.56,30,67.0,False,23.4,-1.05,7.97,copper_rally,
2011-02-21,2011-01-11,dn,-9.45,29,4.0,False,22.1,-5.41,3.13,USD_weakness,
2006-04-13,2006-03-24,dn,-9.45,14,2.0,False,13.0,-2.24,34.69,copper_rally,
2025-04-08,2025-03-10,up,9.41,21,10.0,False,52.3,-4.36,1.98,global_riskoff_strong+USD_weakness,
2018-09-10,2018-07-31,up,9.3,29,12.0,False,14.9,-0.61,-3.48,local_idiosyncratic,
2024-05-28,2024-04-16,dn,-9.21,30,19.0,False,18.7,-1.29,4.39,local_idiosyncratic,
2008-01-29,2007-12-26,dn,-9.07,24,87.0,False,31.0,-0.62,12.03,global_riskoff+copper_rally,
2009-06-22,2009-06-04,dn,-9.04,12,26.0,False,32.7,0.93,-0.5,global_riskoff,
2013-06-20,2013-05-09,up,8.98,30,,True,20.5,0.46,-8.71,copper_drop,
2023-02-14,2023-01-04,dn,-8.85,29,10.0,False,22.9,0.92,5.76,copper_rally,
2026-03-23,2026-02-10,up,8.82,29,16.0,False,31.1,3.34,-5.65,global_riskoff+USD_strength+copper_drop,
2007-01-16,2006-12-11,up,8.47,26,1.0,False,12.1,2.6,-15.98,USD_strength+copper_drop,
