peak_date,start_date,direction,mag_pct,days_to_peak,days_to_recover,permanent,vix_max,dxy_ret_pct,brent_ret_pct,driver_class,known_event
2020-03-24,2020-02-19,up,27.01,24,47.0,False,82.7,0.98,-59.26,global_riskoff_strong+brent_drop,COVID — pico
2008-10-07,2008-08-26,up,23.33,30,169.0,False,70.3,6.68,-41.13,global_riskoff_strong+USD_strength+brent_drop,Lehman
2009-03-03,2009-01-26,up,19.52,26,12.0,False,52.6,3.19,-6.31,global_riskoff_strong+USD_strength+brent_drop,
2014-02-19,2014-01-10,up,16.84,28,1.0,False,21.4,-1.09,2.39,local_idiosyncratic,
2015-12-14,2015-11-03,up,16.75,29,76.0,False,24.4,0.84,-22.46,brent_drop,
2015-01-06,2014-11-26,up,16.01,29,,True,23.6,5.6,-38.78,USD_strength+brent_drop,
2015-07-30,2015-06-18,up,15.83,30,7.0,False,20.0,3.74,-22.54,USD_strength+brent_drop,
2009-10-12,2009-09-01,dn,-14.92,29,10.0,False,29.1,-4.66,13.93,global_riskoff+USD_weakness+brent_rally,
2022-11-02,2022-09-22,up,14.64,29,53.0,False,33.6,-4.54,6.6,global_riskoff+USD_weakness,USDCOP pico 5106
2022-07-25,2022-06-16,up,14.61,27,15.0,False,33.0,1.99,-22.09,global_riskoff+brent_drop,
2015-03-16,2015-02-16,up,14.0,20,16.0,False,16.9,3.44,-7.39,USD_strength+brent_drop,
2020-12-11,2020-11-02,dn,-13.73,29,58.0,False,37.1,-4.26,33.96,global_riskoff_strong+USD_weakness+brent_rally,
2009-06-02,2009-04-21,dn,-13.44,30,,True,38.3,-7.44,45.04,global_riskoff_strong+USD_weakness+brent_rally,
2023-06-12,2023-05-02,dn,-12.83,29,,True,20.1,0.42,-3.62,local_idiosyncratic,
2016-03-22,2016-02-16,dn,-12.75,25,,True,24.1,-2.32,17.14,brent_rally,
2008-06-30,2008-06-10,up,12.5,12,2.0,False,25.9,-1.64,0.42,global_riskoff,
2007-08-16,2007-07-23,up,12.12,18,29.0,False,30.8,0.4,-11.32,global_riskoff+brent_drop,
2023-10-05,2023-09-18,up,11.6,13,17.0,False,19.8,1.38,-1.69,local_idiosyncratic,
2016-11-18,2016-10-07,up,11.49,30,12.0,False,22.5,4.98,-7.63,USD_strength+brent_drop,
2020-06-02,2020-04-21,dn,-10.98,30,59.0,False,45.4,-2.93,322.59,global_riskoff_strong+USD_weakness+brent_rally,
2022-05-12,2022-04-04,up,10.96,28,14.0,False,34.8,4.2,5.07,global_riskoff+USD_strength,
2012-02-08,2011-12-28,dn,-10.84,30,74.0,False,23.5,-1.44,12.23,brent_rally,
2011-10-04,2011-08-31,up,10.79,24,16.0,False,45.5,3.36,-1.85,global_riskoff_strong+USD_strength,
2023-02-22,2023-01-30,up,10.78,17,13.0,False,22.9,2.19,0.99,local_idiosyncratic,
2016-05-31,2016-05-02,up,10.76,21,4.0,False,17.0,2.13,8.47,local_idiosyncratic,
2006-08-09,2006-06-29,dn,-10.7,29,11.0,False,18.6,-0.91,-2.36,local_idiosyncratic,
2011-01-21,2010-12-27,dn,-10.5,19,13.0,False,20.0,-3.27,6.33,USD_weakness+brent_rally,
2006-05-02,2006-03-29,up,9.99,24,1.0,False,14.2,-6.97,9.9,USD_weakness,
2016-09-08,2016-08-03,dn,-9.8,26,2.0,False,18.1,0.58,11.89,brent_rally,
2019-08-28,2019-07-18,up,9.49,29,8.0,False,24.6,1.65,0.96,local_idiosyncratic,
